"","BTC-USD.Adjusted"
"1",457.334014892578
"2",424.440002441406
"3",394.795989990234
"4",408.903991699219
"5",398.821014404297
"6",402.152008056641
"7",435.790985107422
"8",423.204986572266
"9",411.574005126953
"10",404.424987792969
"11",399.519989013672
"12",377.180999755859
"13",375.467010498047
"14",386.944000244141
"15",383.614990234375
"16",375.071990966797
"17",359.511993408203
"18",328.865997314453
"19",320.510009765625
"20",330.079010009766
"21",336.18701171875
"22",352.940002441406
"23",365.026000976562
"24",361.56201171875
"25",362.299011230469
"26",378.549011230469
"27",390.414001464844
"28",400.869995117188
"29",394.773010253906
"30",382.555999755859
"31",383.757995605469
"32",391.441986083984
"33",389.545989990234
"34",382.845001220703
"35",386.475006103516
"36",383.157989501953
"37",358.4169921875
"38",358.345001220703
"39",347.27099609375
"40",354.704010009766
"41",352.989013671875
"42",357.618011474609
"43",335.591003417969
"44",345.304992675781
"45",338.321014404297
"46",325.748992919922
"47",325.891998291016
"48",327.553985595703
"49",330.492004394531
"50",339.485992431641
"51",349.290008544922
"52",342.415008544922
"53",345.488006591797
"54",363.264007568359
"55",366.924011230469
"56",367.695007324219
"57",423.561004638672
"58",420.734985351562
"59",397.817993164062
"60",376.132995605469
"61",387.881988525391
"62",387.407989501953
"63",375.197998046875
"64",380.554992675781
"65",357.839996337891
"66",350.847991943359
"67",352.920013427734
"68",367.572998046875
"69",376.901000976562
"70",375.347991943359
"71",368.369995117188
"72",369.670013427734
"73",376.446990966797
"74",375.490997314453
"75",378.046997070312
"76",379.244995117188
"77",381.315002441406
"78",375.010009765625
"79",369.60400390625
"80",376.85400390625
"81",374.785003662109
"82",375.095001220703
"83",361.908996582031
"84",352.218994140625
"85",346.364990234375
"86",350.506011962891
"87",352.5419921875
"88",347.376007080078
"89",351.631988525391
"90",345.345001220703
"91",327.06201171875
"92",319.776000976562
"93",311.39599609375
"94",317.842987060547
"95",329.955993652344
"96",320.842987060547
"97",331.885986328125
"98",334.571990966797
"99",322.533996582031
"100",319.007995605469
"101",327.924011230469
"102",315.863006591797
"103",317.239013671875
"104",312.670013427734
"105",310.736999511719
"106",320.192993164062
"107",314.248992919922
"108",315.032012939453
"109",281.082000732422
"110",264.195007324219
"111",274.473999023438
"112",286.188995361328
"113",294.337005615234
"114",283.348999023438
"115",290.407989501953
"116",274.795989990234
"117",265.660003662109
"118",267.795989990234
"119",225.860992431641
"120",178.102996826172
"121",209.843994140625
"122",208.09700012207
"123",199.259994506836
"124",210.339004516602
"125",214.860992431641
"126",211.315002441406
"127",226.897003173828
"128",233.406005859375
"129",232.878997802734
"130",247.84700012207
"131",253.718002319336
"132",273.472991943359
"133",263.475006103516
"134",233.914993286133
"135",233.513000488281
"136",226.425003051758
"137",217.464004516602
"138",226.97200012207
"139",238.22900390625
"140",227.268005371094
"141",226.852996826172
"142",217.110992431641
"143",222.266006469727
"144",227.753997802734
"145",223.412002563477
"146",220.110000610352
"147",219.839004516602
"148",219.184997558594
"149",221.764007568359
"150",235.427001953125
"151",257.321014404297
"152",234.824996948242
"153",233.843002319336
"154",243.610000610352
"155",236.32600402832
"156",240.283004760742
"157",243.779006958008
"158",244.533996582031
"159",235.977005004883
"160",238.891998291016
"161",238.735000610352
"162",237.470001220703
"163",236.425994873047
"164",253.828002929688
"165",254.263000488281
"166",260.201995849609
"167",275.670013427734
"168",281.701995849609
"169",273.092010498047
"170",276.178009033203
"171",272.722991943359
"172",276.260986328125
"173",274.35400390625
"174",289.606994628906
"175",291.760009765625
"176",296.378997802734
"177",294.35400390625
"178",285.337005615234
"179",281.885009765625
"180",286.393005371094
"181",290.592987060547
"182",285.505004882812
"183",256.299011230469
"184",260.928009033203
"185",261.748992919922
"186",260.024993896484
"187",267.959991455078
"188",266.739990234375
"189",245.595001220703
"190",246.197006225586
"191",248.531997680664
"192",247.029006958008
"193",252.798004150391
"194",242.712997436523
"195",247.526000976562
"196",244.223999023438
"197",247.272003173828
"198",253.005004882812
"199",254.322006225586
"200",253.697006225586
"201",260.597991943359
"202",255.492004394531
"203",253.179992675781
"204",245.022003173828
"205",243.675994873047
"206",236.072006225586
"207",236.552001953125
"208",236.15299987793
"209",224.587005615234
"210",219.158996582031
"211",223.832992553711
"212",228.572998046875
"213",222.88200378418
"214",223.356002807617
"215",222.600006103516
"216",224.626007080078
"217",235.268997192383
