"","GC=F.Adjusted"
"1",635.200012207031
"2",627.099975585938
"3",623.900024414062
"4",604.900024414062
"5",607.5
"6",613.099975585938
"7",611.599975585938
"8",612.400024414062
"9",625.5
"10",NA
"11",624.599975585938
"12",632.099975585938
"13",627.099975585938
"14",635.5
"15",633.299987792969
"16",645.200012207031
"17",647.599975585938
"18",647.799987792969
"19",644.5
"20",643.099975585938
"21",644.200012207031
"22",652
"23",657.400024414062
"24",646.200012207031
"25",650.900024414062
"26",653.599975585938
"27",652.299987792969
"28",658
"29",667.5
"30",662.599975585938
"31",663.900024414062
"32",667.400024414062
"33",667.299987792969
"34",668.799987792969
"35",657.099975585938
"36",680.200012207031
"37",679.400024414062
"38",683.099975585938
"39",686.5
"40",683.900024414062
"41",669.400024414062
"42",662.299987792969
"43",641.5
"44",636.700012207031
"45",643.799987792969
"46",650.599975585938
"47",653.400024414062
"48",650
"49",648.400024414062
"50",647.599975585938
"51",640.900024414062
"52",645.700012207031
"53",652.599975585938
"54",653.099975585938
"55",657.900024414062
"56",659
"57",663.400024414062
"58",656.700012207031
"59",663.400024414062
"60",662.099975585938
"61",666.5
"62",661.5
"63",663
"64",665.700012207031
"65",664
"66",672.099975585938
"67",674.200012207031
"68",671.900024414062
"69",676.5
"70",676.799987792969
"71",675.099975585938
"72",685.400024414062
"73",690.099975585938
"74",688.200012207031
"75",689.099975585938
"76",684.299987792969
"77",692
"78",690.599975585938
"79",684.200012207031
"80",684.099975585938
"81",674.900024414062
"82",678.700012207031
"83",680.5
"84",674.400024414062
"85",672.299987792969
"86",681.799987792969
"87",687.200012207031
"88",688
"89",685.099975585938
"90",680.299987792969
"91",665.099975585938
"92",670.599975585938
"93",668.5
"94",673
"95",660.200012207031
"96",656.200012207031
"97",661
"98",662.900024414062
"99",659.099975585938
"100",661.900024414062
"101",653
"102",655.099975585938
"103",657.099975585938
"104",653.099975585938
"105",661
"106",671.200012207031
"107",670.700012207031
"108",669.599975585938
"109",669.299987792969
"110",660.099975585938
"111",645.5
"112",654.299987792969
"113",648.5
"114",648.200012207031
"115",651.599975585938
"116",654.5
"117",655.799987792969
"118",660.700012207031
"119",656.099975585938
"120",650.599975585938
"121",653.5
"122",651.299987792969
"123",642.099975585938
"124",641.700012207031
"125",647.5
"126",648.099975585938
"127",656.5
"128",652.900024414062
"129",648.400024414062
"130",652.700012207031
"131",660.5
"132",662.5
"133",660.299987792969
"134",666.700012207031
"135",665.799987792969
"136",665
"137",664.700012207031
"138",672.599975585938
"139",677.200012207031
