"","GSPC.Adjusted"
"1",1416.59997558594
"2",1418.33996582031
"3",1409.7099609375
"4",1412.83996582031
"5",1412.10998535156
"6",1414.84997558594
"7",1423.81994628906
"8",1430.72998046875
"9",1431.90002441406
"10",1430.61999511719
"11",1426.36999511719
"12",1430.5
"13",1422.94995117188
"14",1427.98999023438
"15",1440.13000488281
"16",1423.90002441406
"17",1422.18005371094
"18",1420.61999511719
"19",1428.81994628906
"20",1438.23999023438
"21",1445.93994140625
"22",1448.39001464844
"23",1446.98999023438
"24",1448
"25",1450.02001953125
"26",1448.31005859375
"27",1438.06005859375
"28",1433.36999511719
"29",1444.26000976562
"30",1455.30004882812
"31",1456.81005859375
"32",1455.5400390625
"33",1459.68005371094
"34",1457.63000488281
"35",1456.38000488281
"36",1451.18994140625
"37",1449.36999511719
"38",1399.0400390625
"39",1406.81994628906
"40",1403.17004394531
"41",1387.17004394531
"42",1374.11999511719
"43",1395.41003417969
"44",1391.96997070312
"45",1401.89001464844
"46",1402.83996582031
"47",1406.59997558594
"48",1377.94995117188
"49",1387.17004394531
"50",1392.28002929688
"51",1386.94995117188
"52",1402.06005859375
"53",1410.93994140625
"54",1435.0400390625
"55",1434.5400390625
"56",1436.10998535156
"57",1437.5
"58",1428.60998535156
"59",1417.22998046875
"60",1422.53002929688
"61",1420.85998535156
"62",1424.55004882812
"63",1437.77001953125
"64",1439.36999511719
"65",1443.76000976562
"66",1444.60998535156
"67",1448.39001464844
"68",1438.86999511719
"69",1447.80004882812
"70",1452.84997558594
"71",1468.32995605469
"72",1471.47998046875
"73",1472.5
"74",1470.72998046875
"75",1484.34997558594
"76",1480.93005371094
"77",1480.41003417969
"78",1495.42004394531
"79",1494.25
"80",1494.06994628906
"81",1482.36999511719
"82",1486.30004882812
"83",1495.92004394531
"84",1502.39001464844
"85",1505.61999511719
"86",1509.47998046875
"87",1507.71997070312
"88",1512.57995605469
"89",1491.46997070312
"90",1505.84997558594
"91",1503.15002441406
"92",1501.18994140625
"93",1514.14001464844
"94",1512.75
"95",1522.75
"96",1525.09997558594
"97",1524.11999511719
"98",1522.28002929688
"99",1507.51000976562
"100",1515.72998046875
"101",1518.10998535156
"102",1530.22998046875
"103",1530.61999511719
"104",1536.33996582031
"105",1539.18005371094
"106",1530.94995117188
"107",1517.38000488281
"108",1490.71997070312
"109",1507.67004394531
"110",1509.11999511719
"111",1493
"112",1515.67004394531
"113",1522.96997070312
"114",1532.91003417969
"115",1531.05004882812
"116",1533.69995117188
"117",1512.83996582031
"118",1522.18994140625
"119",1502.56005859375
"120",1497.73999023438
"121",1492.89001464844
"122",1506.33996582031
"123",1505.7099609375
"124",1503.34997558594
"125",1519.43005371094
"126",1524.86999511719
"127",1525.40002441406
"128",1530.43994140625
"129",1531.84997558594
"130",1510.11999511719
"131",1518.76000976562
"132",1547.69995117188
"133",1552.5
"134",1549.52001953125
"135",1549.36999511719
"136",1546.17004394531
"137",1553.07995605469
"138",1534.09997558594
"139",1541.56994628906
"140",1511.0400390625
"141",1518.08996582031
"142",1482.66003417969
"143",1458.94995117188
"144",1473.91003417969
"145",1455.27001953125
"146",1465.81005859375
"147",1472.19995117188
"148",1433.06005859375
"149",1467.67004394531
"150",1476.7099609375
"151",1497.48999023438
"152",1453.08996582031
"153",1453.64001464844
"154",1452.92004394531
"155",1426.5400390625
"156",1406.69995117188
"157",1411.27001953125
"158",1445.93994140625
"159",1445.55004882812
"160",1447.11999511719
"161",1464.06994628906
"162",1462.5
"163",1479.36999511719
"164",1466.7900390625
"165",1432.35998535156
"166",1463.76000976562
"167",1457.64001464844
"168",1473.98999023438
"169",1489.42004394531
"170",1472.2900390625
"171",1478.55004882812
"172",1453.55004882812
"173",1451.69995117188
"174",1471.48999023438
"175",1471.56005859375
"176",1483.94995117188
"177",1484.25
"178",1476.65002441406
"179",1519.78002929688
"180",1529.03002929688
"181",1518.75
"182",1525.75
"183",1517.72998046875
"184",1517.2099609375
"185",1525.42004394531
"186",1531.38000488281
"187",1526.75
"188",1547.0400390625
"189",1546.63000488281
"190",1539.58996582031
"191",1542.83996582031
"192",1557.58996582031
"193",1552.57995605469
"194",1565.15002441406
"195",1562.46997070312
"196",1554.41003417969
"197",1561.80004882812
"198",1548.7099609375
"199",1538.53002929688
"200",1541.23999023438
"201",1540.07995605469
"202",1500.63000488281
"203",1506.32995605469
"204",1519.58996582031
"205",1515.88000488281
"206",1514.40002441406
"207",1535.28002929688
"208",1540.97998046875
"209",1531.02001953125
"210",1549.38000488281
"211",1508.43994140625
"212",1509.65002441406
"213",1502.17004394531
"214",1520.27001953125
"215",1475.61999511719
"216",1474.77001953125
"217",1453.69995117188
"218",1439.18005371094
"219",1481.05004882812
"220",1470.57995605469
"221",1451.15002441406
"222",1458.73999023438
"223",1433.27001953125
"224",1439.69995117188
"225",1416.77001953125
"226",1440.69995117188
"227",1407.21997070312
"228",1428.22998046875
"229",1469.02001953125
"230",1469.71997070312
"231",1481.14001464844
"232",1472.42004394531
"233",1462.7900390625
"234",1485.01000976562
"235",1507.33996582031
"236",1504.66003417969
"237",1515.9599609375
"238",1477.65002441406
"239",1486.58996582031
"240",1488.41003417969
"241",1467.94995117188
"242",1445.90002441406
"243",1454.97998046875
"244",1453
"245",1460.11999511719
"246",1484.4599609375
"247",1496.44995117188
"248",1497.66003417969
"249",1476.27001953125
"250",1478.48999023438
"251",1468.35998535156
"252",1447.16003417969
"253",1447.16003417969
"254",1411.63000488281
"255",1416.18005371094
"256",1390.18994140625
"257",1409.13000488281
"258",1420.32995605469
"259",1401.02001953125
"260",1416.25
"261",1380.94995117188
"262",1373.19995117188
"263",1333.25
"264",1325.18994140625
"265",1310.5
"266",1338.59997558594
"267",1352.06994628906
"268",1330.60998535156
"269",1353.9599609375
"270",1362.30004882812
"271",1355.81005859375
"272",1378.55004882812
"273",1395.42004394531
"274",1380.81994628906
"275",1336.64001464844
"276",1326.44995117188
"277",1336.91003417969
"278",1331.2900390625
"279",1339.13000488281
"280",1348.85998535156
"281",1367.2099609375
"282",1348.85998535156
"283",1349.98999023438
"284",1348.78002929688
"285",1360.03002929688
"286",1342.53002929688
"287",1353.10998535156
"288",1371.80004882812
"289",1381.2900390625
"290",1380.02001953125
"291",1367.68005371094
"292",1330.63000488281
"293",1331.33996582031
"294",1326.75
"295",1333.69995117188
"296",1304.33996582031
"297",1293.36999511719
"298",1273.36999511719
"299",1320.65002441406
"300",1308.77001953125
"301",1315.47998046875
"302",1288.14001464844
"303",1276.59997558594
"304",1330.73999023438
"305",1298.42004394531
"306",1329.51000976562
"307",1349.88000488281
"308",1352.98999023438
"309",1341.13000488281
"310",1325.76000976562
"311",1315.21997070312
"312",1322.69995117188
"313",1370.18005371094
"314",1367.53002929688
"315",1369.31005859375
"316",1370.40002441406
"317",1372.5400390625
"318",1365.5400390625
"319",1354.48999023438
"320",1360.55004882812
"321",1332.82995605469
"322",1328.31994628906
"323",1334.43005371094
"324",1364.7099609375
"325",1365.56005859375
"326",1390.32995605469
"327",1388.17004394531
"328",1375.93994140625
"329",1379.93005371094
"330",1388.81994628906
"331",1397.83996582031
"332",1396.36999511719
"333",1390.93994140625
"334",1385.58996582031
"335",1409.33996582031
"336",1413.90002441406
"337",1407.48999023438
"338",1418.26000976562
"339",1392.56994628906
