"","IXIC.Adjusted"
"1",2423.15991210938
"2",2453.42993164062
"3",2434.25
"4",2438.19995117188
"5",2443.830078125
"6",2459.330078125
"7",2484.85009765625
"8",2502.82006835938
"9",2497.78002929688
"10",2479.419921875
"11",2443.2099609375
"12",2451.31005859375
"13",2431.07006835938
"14",2431.40991210938
"15",2466.28002929688
"16",2434.23999023438
"17",2435.48999023438
"18",2441.09008789062
"19",2448.63989257812
"20",2463.92993164062
"21",2468.3798828125
"22",2475.8798828125
"23",2470.60009765625
"24",2471.48999023438
"25",2490.5
"26",2488.669921875
"27",2459.82006835938
"28",2450.3798828125
"29",2459.8798828125
"30",2488.3798828125
"31",2497.10009765625
"32",2496.31005859375
"33",2513.0400390625
"34",2518.419921875
"35",2524.93994140625
"36",2515.10009765625
"37",2504.52001953125
"38",2407.86010742188
"39",2416.14990234375
"40",2404.2099609375
"41",2368
"42",2340.67993164062
"43",2385.13989257812
"44",2374.63989257812
"45",2387.72998046875
"46",2387.55004882812
"47",2402.2900390625
"48",2350.57006835938
"49",2371.73999023438
"50",2378.69995117188
"51",2372.65991210938
"52",2394.40991210938
"53",2408.2099609375
"54",2455.919921875
"55",2451.73999023438
"56",2448.92993164062
"57",2455.6298828125
"58",2437.42993164062
"59",2417.10009765625
"60",2417.8798828125
"61",2421.63989257812
"62",2422.26000976562
"63",2450.330078125
"64",2458.68994140625
"65",2471.34008789062
"66",2469.17993164062
"67",2477.61010742188
"68",2459.31005859375
"69",2480.32006835938
"70",2491.93994140625
"71",2518.330078125
"72",2516.94995117188
"73",2510.5
"74",2505.35009765625
"75",2526.38989257812
"76",2523.669921875
"77",2524.5400390625
"78",2547.88989257812
"79",2554.4599609375
"80",2557.2099609375
"81",2525.09008789062
"82",2531.53002929688
"83",2557.84008789062
"84",2565.4599609375
"85",2572.14990234375
"86",2570.94995117188
"87",2571.75
"88",2576.34008789062
"89",2533.73999023438
"90",2562.21997070312
"91",2546.43994140625
"92",2525.2900390625
